AÑO,MES,DISTRITO,FUEGOS,DAÑOS EN CONSTRUCCION,SALVAMENTOS Y RESCATES,DAÑOS POR AGUA,INCIDENTES DIVERSOS,SALIDAS SIN INTERVENCION,SERVICIOS VARIOS,TOTAL
2017,Agosto,CENTRO,47.0,20.0,44.0,26.0,34.0,19.0,9.0,199.0
2017,Agosto,ARGANZUELA,24.0,5.0,20.0,15.0,28.0,13.0,3.0,108.0
2017,Agosto,RETIRO,11.0,7.0,12.0,9.0,30.0,3.0,1.0,73.0
2017,Agosto,SALAMANCA,19.0,12.0,20.0,17.0,32.0,4.0,1.0,105.0
2017,Agosto,CHAMARTIN,15.0,6.0,21.0,8.0,34.0,11.0,2.0,97.0
2017,Agosto,TETUAN,18.0,10.0,27.0,13.0,20.0,14.0,1.0,103.0
2017,Agosto,CHAMBERI,17.0,11.0,22.0,6.0,18.0,8.0,1.0,83.0
2017,Agosto,FUENCARRAL,34.0,3.0,25.0,7.0,38.0,15.0,2.0,124.0
2017,Agosto,MONCLOA,16.0,1.0,25.0,6.0,27.0,7.0,2.0,84.0
2017,Agosto,LATINA,24.0,4.0,29.0,19.0,33.0,8.0,1.0,118.0
2017,Agosto,CARABANCHEL,58.0,9.0,35.0,13.0,35.0,19.0,1.0,170.0
2017,Agosto,USERA,47.0,4.0,15.0,6.0,14.0,10.0,1.0,97.0
2017,Agosto,PUENTE VALLECAS,42.0,6.0,36.0,12.0,26.0,14.0,1.0,137.0
2017,Agosto,MORATALAZ,17.0,0.0,12.0,5.0,10.0,10.0,0.0,54.0
2017,Agosto,CIUDAD LINEAL,17.0,4.0,27.0,19.0,58.0,11.0,0.0,136.0
2017,Agosto,HORTALEZA,17.0,1.0,18.0,12.0,57.0,7.0,0.0,112.0
2017,Agosto,VILLAVERDE,54.0,8.0,17.0,13.0,25.0,13.0,1.0,131.0
2017,Agosto,VILLA DE VALLECAS,24.0,2.0,14.0,6.0,12.0,14.0,0.0,72.0
2017,Agosto,VICALVARO,31.0,1.0,4.0,4.0,5.0,13.0,1.0,59.0
2017,Agosto,SAN BLAS,16.0,2.0,20.0,13.0,31.0,8.0,0.0,90.0
2017,Agosto,BARAJAS,7.0,3.0,6.0,2.0,6.0,7.0,0.0,31.0
