DISTRITOS;RELACIONADAS CON LAS PERSONAS;RELACIONADAS CON EL PATRIMONIO;POR TENENCIA DE ARMAS;POR TENENCIA DE DROGAS;POR CONSUMO DE DROGAS;PERSONAS DETENIDAS E INVESTIGADAS;CON VICTIMAS;SIN VICTIMAS;EXPEDIENTES;PROPIEDAD INTELECTUAL E INDUSTRIAL;INFRACCIONES ALIMENTARIAS;MAYORES DE EDAD;MENORES DE 18 AÑOS;INSPECCIONES Y ACTUACIONES;DENUNCIAS;EXPEDIENTES INSTRUIDOS;CONTACTOS CON CENTROS ESCOLARES;AÑO;MES
CENTRO;18.0;49.0;8.0;140.0;56.0;84.0;69.0;13.0;64.0;402.0;104.0;715.0;6.0;411.0;770.0;60.0;28.0;2018;enero
ARGANZUELA;1.0;1.0;3.0;2.0;2.0;25.0;57.0;17.0;27.0;6.0;21.0;29.0;1.0;153.0;146.0;7.0;6.0;2018;enero
RETIRO;0.0;0.0;0.0;11.0;0.0;13.0;68.0;7.0;9.0;5.0;10.0;83.0;0.0;25.0;52.0;2.0;29.0;2018;enero
SALAMANCA;3.0;7.0;1.0;30.0;6.0;53.0;85.0;11.0;27.0;82.0;2.0;72.0;0.0;73.0;106.0;0.0;26.0;2018;enero
CHAMARTÍN;0.0;7.0;0.0;11.0;4.0;31.0;72.0;20.0;14.0;9.0;1.0;31.0;0.0;29.0;36.0;2.0;48.0;2018;enero
TETUÁN;3.0;3.0;1.0;24.0;2.0;48.0;39.0;13.0;28.0;3.0;0.0;259.0;9.0;73.0;170.0;12.0;6.0;2018;enero
CHAMBERÍ;3.0;1.0;1.0;41.0;21.0;17.0;31.0;14.0;32.0;0.0;2.0;268.0;12.0;116.0;250.0;10.0;49.0;2018;enero
FUENCARRAL - EL PARDO;0.0;0.0;1.0;7.0;1.0;21.0;56.0;16.0;47.0;2.0;0.0;0.0;0.0;79.0;111.0;0.0;20.0;2018;enero
MONCLOA - ARAVACA;4.0;10.0;1.0;10.0;1.0;21.0;59.0;10.0;33.0;0.0;0.0;250.0;7.0;45.0;65.0;0.0;19.0;2018;enero
LATINA;1.0;1.0;0.0;3.0;0.0;22.0;35.0;7.0;56.0;0.0;0.0;93.0;0.0;48.0;131.0;0.0;74.0;2018;enero
CARABANCHEL;8.0;4.0;4.0;23.0;2.0;27.0;47.0;13.0;85.0;6.0;1.0;45.0;1.0;96.0;146.0;7.0;99.0;2018;enero
USERA;4.0;5.0;4.0;5.0;0.0;35.0;33.0;13.0;35.0;0.0;20.0;65.0;1.0;31.0;142.0;0.0;32.0;2018;enero
PUENTE DE VALLECAS;4.0;11.0;10.0;37.0;24.0;62.0;47.0;13.0;62.0;9.0;3.0;112.0;4.0;153.0;330.0;0.0;21.0;2018;enero
MORATALAZ;0.0;1.0;1.0;11.0;6.0;11.0;22.0;5.0;11.0;0.0;1.0;29.0;10.0;70.0;58.0;6.0;17.0;2018;enero
CIUDAD LINEAL;0.0;0.0;1.0;20.0;8.0;38.0;55.0;12.0;61.0;8.0;13.0;70.0;3.0;54.0;83.0;2.0;30.0;2018;enero
HORTALEZA;11.0;17.0;0.0;4.0;4.0;13.0;31.0;4.0;45.0;4.0;6.0;1.0;0.0;24.0;36.0;4.0;38.0;2018;enero
VILLAVERDE;4.0;5.0;5.0;33.0;5.0;39.0;30.0;14.0;19.0;5.0;7.0;29.0;3.0;80.0;110.0;1.0;70.0;2018;enero
VILLA DE VALLECAS;0.0;6.0;3.0;18.0;1.0;16.0;24.0;8.0;22.0;0.0;0.0;10.0;0.0;65.0;132.0;4.0;32.0;2018;enero
VICÁLVARO;0.0;0.0;1.0;4.0;0.0;3.0;11.0;3.0;10.0;0.0;0.0;52.0;0.0;29.0;41.0;0.0;36.0;2018;enero
SAN BLAS - CANILLEJAS;5.0;16.0;2.0;40.0;8.0;24.0;61.0;9.0;40.0;0.0;0.0;38.0;5.0;30.0;59.0;13.0;51.0;2018;enero
BARAJAS;0.0;0.0;0.0;0.0;0.0;10.0;10.0;5.0;10.0;0.0;0.0;0.0;0.0;61.0;66.0;2.0;39.0;2018;enero
SIN DISTRITO ASIGNADO;309.0;359.0;11.0;65.0;46.0;0.0;0.0;0.0;;170.0;94.0;47.0;0.0;0.0;0.0;11.0;0.0;2018;enero
UNIDAD DE CONVIVENCIA Y PREVENCIÓN;;;;;;;;;0.0;;;;;;;;;2018;enero
CENTRO;15.0;27.0;1.0;109.0;54.0;120.0;63.0;18.0;49.0;312.0;123.0;894.0;8.0;508.0;1026.0;0.0;3.0;2018;febrero
ARGANZUELA;0.0;0.0;0.0;6.0;0.0;26.0;44.0;7.0;24.0;5.0;18.0;76.0;2.0;163.0;151.0;0.0;0.0;2018;febrero
RETIRO;1.0;4.0;0.0;7.0;2.0;13.0;45.0;4.0;17.0;5.0;2.0;101.0;10.0;11.0;28.0;0.0;0.0;2018;febrero
SALAMANCA;8.0;7.0;0.0;12.0;4.0;48.0;63.0;14.0;21.0;0.0;1.0;67.0;0.0;185.0;265.0;0.0;0.0;2018;febrero
CHAMARTÍN;2.0;9.0;0.0;12.0;5.0;29.0;60.0;15.0;23.0;1.0;1.0;111.0;1.0;22.0;40.0;0.0;0.0;2018;febrero
TETUÁN;1.0;1.0;2.0;51.0;3.0;38.0;56.0;10.0;26.0;0.0;4.0;298.0;5.0;74.0;189.0;0.0;0.0;2018;febrero
CHAMBERÍ;5.0;7.0;1.0;14.0;2.0;13.0;51.0;7.0;22.0;0.0;0.0;275.0;14.0;101.0;164.0;0.0;0.0;2018;febrero
FUENCARRAL - EL PARDO;0.0;0.0;0.0;6.0;3.0;17.0;41.0;10.0;55.0;4.0;0.0;12.0;1.0;64.0;92.0;0.0;0.0;2018;febrero
MONCLOA - ARAVACA;5.0;4.0;0.0;1.0;7.0;26.0;46.0;3.0;42.0;2.0;0.0;308.0;11.0;40.0;61.0;0.0;0.0;2018;febrero
LATINA;0.0;4.0;3.0;14.0;4.0;30.0;48.0;9.0;32.0;0.0;6.0;92.0;3.0;29.0;100.0;0.0;1.0;2018;febrero
CARABANCHEL;13.0;9.0;1.0;26.0;2.0;52.0;46.0;10.0;48.0;3.0;0.0;67.0;3.0;111.0;142.0;1.0;17.0;2018;febrero
USERA;0.0;0.0;0.0;1.0;1.0;38.0;28.0;11.0;50.0;0.0;17.0;78.0;1.0;44.0;155.0;0.0;0.0;2018;febrero
PUENTE DE VALLECAS;5.0;11.0;4.0;43.0;14.0;85.0;62.0;14.0;52.0;12.0;0.0;108.0;1.0;135.0;286.0;0.0;0.0;2018;febrero
MORATALAZ;2.0;0.0;2.0;6.0;4.0;12.0;28.0;5.0;10.0;0.0;0.0;30.0;5.0;49.0;47.0;1.0;6.0;2018;febrero
CIUDAD LINEAL;1.0;0.0;1.0;12.0;4.0;40.0;63.0;13.0;50.0;1.0;16.0;81.0;8.0;37.0;55.0;0.0;0.0;2018;febrero
HORTALEZA;8.0;10.0;5.0;10.0;5.0;11.0;32.0;8.0;44.0;1.0;1.0;2.0;6.0;51.0;68.0;0.0;0.0;2018;febrero
VILLAVERDE;3.0;12.0;2.0;35.0;4.0;32.0;22.0;7.0;23.0;7.0;6.0;29.0;1.0;69.0;67.0;0.0;0.0;2018;febrero
VILLA DE VALLECAS;0.0;3.0;0.0;8.0;36.0;24.0;25.0;3.0;26.0;0.0;0.0;23.0;0.0;60.0;136.0;0.0;0.0;2018;febrero
VICÁLVARO;0.0;0.0;5.0;9.0;5.0;6.0;15.0;3.0;8.0;0.0;0.0;40.0;1.0;8.0;12.0;0.0;0.0;2018;febrero
SAN BLAS - CANILLEJAS;10.0;7.0;1.0;28.0;4.0;22.0;59.0;8.0;30.0;0.0;3.0;47.0;9.0;34.0;45.0;10.0;31.0;2018;febrero
BARAJAS;1.0;1.0;0.0;1.0;1.0;12.0;18.0;5.0;7.0;0.0;2.0;0.0;0.0;73.0;71.0;0.0;0.0;2018;febrero
SIN DISTRITO ASIGNADO;327.0;429.0;14.0;80.0;38.0;34.0;0.0;0.0;;236.0;108.0;19.0;1.0;0.0;0.0;40.0;148.0;2018;febrero
UNIDAD DE CONVIVENCIA Y PREVENCIÓN;;;;;;;;;7.0;;;;;;;;;2018;febrero
CENTRO;12.0;22.0;4.0;129.0;72.0;103.0;58.0;15.0;57.0;471.0;510.0;1186.0;14.0;307.0;605.0;0.0;0.0;2018;marzo
ARGANZUELA;2.0;1.0;1.0;8.0;3.0;34.0;45.0;11.0;11.0;20.0;35.0;47.0;0.0;158.0;202.0;0.0;0.0;2018;marzo
RETIRO;2.0;0.0;0.0;2.0;0.0;14.0;39.0;8.0;16.0;2.0;18.0;105.0;8.0;51.0;72.0;0.0;0.0;2018;marzo
SALAMANCA;15.0;32.0;4.0;26.0;7.0;47.0;77.0;11.0;13.0;0.0;2.0;70.0;5.0;233.0;414.0;0.0;0.0;2018;marzo
CHAMARTÍN;1.0;10.0;0.0;42.0;1.0;33.0;72.0;12.0;11.0;0.0;0.0;238.0;11.0;29.0;85.0;0.0;0.0;2018;marzo
TETUÁN;6.0;7.0;2.0;39.0;1.0;48.0;52.0;11.0;16.0;2.0;2.0;400.0;7.0;217.0;389.0;0.0;0.0;2018;marzo
CHAMBERÍ;3.0;4.0;0.0;27.0;2.0;16.0;36.0;10.0;10.0;1.0;0.0;332.0;14.0;112.0;236.0;0.0;0.0;2018;marzo
FUENCARRAL - EL PARDO;2.0;0.0;0.0;10.0;0.0;16.0;40.0;17.0;36.0;3.0;1.0;3.0;0.0;69.0;96.0;0.0;0.0;2018;marzo
MONCLOA - ARAVACA;2.0;4.0;1.0;2.0;8.0;20.0;52.0;13.0;26.0;0.0;0.0;368.0;12.0;29.0;43.0;0.0;0.0;2018;marzo
LATINA;1.0;0.0;4.0;21.0;0.0;34.0;39.0;11.0;31.0;1.0;2.0;94.0;2.0;45.0;131.0;0.0;0.0;2018;marzo
CARABANCHEL;8.0;10.0;4.0;14.0;7.0;61.0;39.0;21.0;36.0;8.0;3.0;59.0;0.0;139.0;241.0;1.0;14.0;2018;marzo
USERA;1.0;2.0;0.0;9.0;1.0;27.0;29.0;11.0;31.0;3.0;7.0;83.0;0.0;49.0;133.0;0.0;0.0;2018;marzo
PUENTE DE VALLECAS;10.0;11.0;5.0;57.0;22.0;69.0;41.0;8.0;35.0;2.0;1.0;84.0;0.0;139.0;235.0;0.0;0.0;2018;marzo
MORATALAZ;1.0;1.0;1.0;5.0;4.0;15.0;13.0;5.0;8.0;0.0;0.0;20.0;1.0;18.0;15.0;2.0;12.0;2018;marzo
CIUDAD LINEAL;0.0;0.0;0.0;2.0;2.0;43.0;36.0;12.0;45.0;2.0;25.0;83.0;8.0;53.0;72.0;0.0;0.0;2018;marzo
HORTALEZA;7.0;19.0;1.0;12.0;0.0;29.0;26.0;4.0;34.0;0.0;0.0;29.0;0.0;40.0;78.0;0.0;0.0;2018;marzo
VILLAVERDE;5.0;11.0;2.0;24.0;1.0;31.0;20.0;13.0;12.0;7.0;3.0;50.0;0.0;88.0;127.0;0.0;1.0;2018;marzo
VILLA DE VALLECAS;1.0;5.0;2.0;18.0;119.0;24.0;14.0;2.0;21.0;0.0;0.0;50.0;6.0;35.0;78.0;0.0;0.0;2018;marzo
VICÁLVARO;0.0;0.0;2.0;10.0;1.0;11.0;13.0;4.0;9.0;1.0;0.0;57.0;2.0;20.0;28.0;0.0;0.0;2018;marzo
SAN BLAS - CANILLEJAS;13.0;16.0;3.0;23.0;3.0;40.0;44.0;16.0;19.0;0.0;1.0;28.0;0.0;14.0;22.0;6.0;34.0;2018;marzo
BARAJAS;2.0;2.0;0.0;1.0;0.0;2.0;11.0;3.0;11.0;0.0;0.0;1.0;0.0;31.0;45.0;0.0;0.0;2018;marzo
SIN DISTRITO ASIGNADO;393.0;446.0;22.0;86.0;27.0;3.0;0.0;0.0;;65.0;45.0;85.0;13.0;0.0;0.0;32.0;124.0;2018;marzo
UNIDAD DE CONVIVENCIA Y PREVENCIÓN;;;;;;;;;25.0;;;;;;;;;2018;marzo
CENTRO;13.0;52.0;2.0;149.0;66.0;186.0;83.0;20.0;71.0;508.0;323.0;1004.0;14.0;410.0;860.0;3.0;0.0;2018;abril
ARGANZUELA;7.0;6.0;0.0;12.0;2.0;27.0;43.0;12.0;20.0;42.0;28.0;55.0;0.0;194.0;185.0;0.0;5.0;2018;abril
RETIRO;3.0;1.0;1.0;8.0;2.0;19.0;55.0;5.0;14.0;2.0;0.0;74.0;7.0;48.0;49.0;1.0;0.0;2018;abril
SALAMANCA;20.0;37.0;1.0;10.0;5.0;41.0;68.0;8.0;24.0;0.0;0.0;63.0;2.0;196.0;296.0;0.0;1.0;2018;abril
CHAMARTÍN;3.0;6.0;0.0;8.0;5.0;69.0;66.0;18.0;26.0;14.0;25.0;143.0;5.0;194.0;331.0;0.0;0.0;2018;abril
TETUÁN;6.0;4.0;1.0;23.0;1.0;34.0;55.0;6.0;33.0;6.0;14.0;331.0;13.0;188.0;318.0;0.0;0.0;2018;abril
CHAMBERÍ;8.0;9.0;0.0;20.0;2.0;26.0;50.0;11.0;19.0;0.0;3.0;239.0;17.0;163.0;310.0;0.0;0.0;2018;abril
FUENCARRAL - EL PARDO;0.0;1.0;0.0;22.0;0.0;30.0;46.0;9.0;49.0;3.0;0.0;21.0;0.0;40.0;70.0;0.0;0.0;2018;abril
MONCLOA - ARAVACA;3.0;4.0;0.0;4.0;5.0;24.0;58.0;17.0;35.0;2.0;1.0;275.0;2.0;19.0;39.0;0.0;0.0;2018;abril
LATINA;4.0;5.0;7.0;21.0;11.0;45.0;36.0;8.0;39.0;1.0;2.0;65.0;0.0;62.0;138.0;0.0;4.0;2018;abril
CARABANCHEL;6.0;12.0;0.0;11.0;2.0;66.0;43.0;23.0;66.0;1.0;0.0;61.0;0.0;148.0;175.0;0.0;17.0;2018;abril
USERA;13.0;9.0;0.0;9.0;1.0;50.0;32.0;4.0;37.0;9.0;47.0;94.0;3.0;58.0;164.0;0.0;1.0;2018;abril
PUENTE DE VALLECAS;8.0;7.0;0.0;59.0;12.0;92.0;57.0;16.0;44.0;7.0;12.0;140.0;2.0;141.0;262.0;0.0;1.0;2018;abril
MORATALAZ;2.0;5.0;1.0;21.0;7.0;20.0;11.0;4.0;20.0;1.0;0.0;41.0;0.0;12.0;7.0;0.0;18.0;2018;abril
CIUDAD LINEAL;9.0;4.0;1.0;9.0;1.0;26.0;56.0;10.0;52.0;0.0;9.0;83.0;2.0;141.0;192.0;0.0;0.0;2018;abril
HORTALEZA;13.0;4.0;1.0;15.0;4.0;19.0;40.0;7.0;32.0;3.0;8.0;13.0;0.0;53.0;91.0;0.0;0.0;2018;abril
VILLAVERDE;9.0;14.0;0.0;13.0;1.0;41.0;22.0;6.0;18.0;3.0;4.0;57.0;3.0;83.0;91.0;0.0;14.0;2018;abril
VILLA DE VALLECAS;0.0;7.0;1.0;20.0;109.0;31.0;23.0;3.0;17.0;0.0;4.0;35.0;2.0;47.0;89.0;0.0;0.0;2018;abril
VICÁLVARO;1.0;2.0;1.0;5.0;3.0;12.0;11.0;3.0;18.0;0.0;0.0;58.0;4.0;24.0;16.0;0.0;0.0;2018;abril
SAN BLAS - CANILLEJAS;2.0;13.0;1.0;21.0;2.0;28.0;47.0;5.0;40.0;7.0;9.0;45.0;0.0;24.0;44.0;4.0;38.0;2018;abril
BARAJAS;3.0;5.0;0.0;1.0;0.0;9.0;14.0;4.0;15.0;0.0;1.0;0.0;0.0;4.0;7.0;1.0;19.0;2018;abril
SIN DISTRITO ASIGNADO;370.0;482.0;12.0;74.0;42.0;3.0;0.0;0.0;;176.0;193.0;64.0;4.0;0.0;0.0;34.0;224.0;2018;abril
UNIDAD DE CONVIVENCIA Y PREVENCIÓN;;;;;;;;;12.0;;;;;;;;;2018;abril
CENTRO;51.0;79.0;6.0;170.0;83.0;101.0;67.0;17.0;82.0;380.0;476.0;820.0;6.0;439.0;756.0;11.0;8.0;2018;mayo
ARGANZUELA;10.0;15.0;2.0;26.0;6.0;34.0;46.0;10.0;19.0;19.0;27.0;45.0;3.0;175.0;180.0;4.0;15.0;2018;mayo
RETIRO;3.0;8.0;0.0;11.0;4.0;11.0;47.0;7.0;20.0;31.0;92.0;99.0;0.0;84.0;118.0;0.0;0.0;2018;mayo
SALAMANCA;7.0;34.0;1.0;13.0;3.0;55.0;62.0;9.0;19.0;5.0;8.0;55.0;1.0;257.0;394.0;2.0;9.0;2018;mayo
CHAMARTÍN;7.0;24.0;1.0;17.0;2.0;59.0;61.0;11.0;39.0;15.0;30.0;82.0;10.0;206.0;281.0;0.0;0.0;2018;mayo
TETUÁN;16.0;9.0;0.0;21.0;2.0;34.0;46.0;1.0;24.0;3.0;19.0;233.0;4.0;127.0;246.0;0.0;0.0;2018;mayo
CHAMBERÍ;11.0;7.0;0.0;18.0;14.0;29.0;54.0;9.0;22.0;1.0;2.0;256.0;3.0;139.0;284.0;0.0;0.0;2018;mayo
FUENCARRAL - EL PARDO;0.0;2.0;4.0;139.0;7.0;13.0;44.0;6.0;60.0;44.0;24.0;3.0;0.0;48.0;60.0;0.0;0.0;2018;mayo
MONCLOA - ARAVACA;9.0;8.0;0.0;15.0;19.0;19.0;51.0;4.0;41.0;1.0;1.0;132.0;3.0;26.0;31.0;0.0;0.0;2018;mayo
LATINA;8.0;10.0;7.0;79.0;15.0;44.0;27.0;7.0;43.0;21.0;22.0;108.0;4.0;56.0;114.0;0.0;16.0;2018;mayo
CARABANCHEL;25.0;17.0;4.0;40.0;9.0;58.0;55.0;19.0;45.0;2.0;4.0;107.0;0.0;70.0;148.0;4.0;16.0;2018;mayo
USERA;9.0;15.0;4.0;18.0;3.0;44.0;33.0;7.0;30.0;31.0;78.0;193.0;2.0;63.0;225.0;0.0;2.0;2018;mayo
PUENTE DE VALLECAS;16.0;19.0;1.0;43.0;13.0;80.0;46.0;7.0;23.0;4.0;1.0;130.0;2.0;162.0;260.0;0.0;0.0;2018;mayo
MORATALAZ;2.0;5.0;0.0;12.0;1.0;13.0;18.0;5.0;10.0;1.0;2.0;24.0;1.0;23.0;48.0;3.0;19.0;2018;mayo
CIUDAD LINEAL;17.0;13.0;2.0;24.0;2.0;35.0;59.0;12.0;54.0;1.0;22.0;54.0;3.0;93.0;114.0;1.0;1.0;2018;mayo
HORTALEZA;19.0;13.0;2.0;16.0;5.0;27.0;27.0;7.0;33.0;3.0;2.0;11.0;3.0;65.0;64.0;0.0;0.0;2018;mayo
VILLAVERDE;16.0;21.0;0.0;27.0;6.0;33.0;27.0;8.0;23.0;5.0;11.0;73.0;0.0;54.0;72.0;1.0;15.0;2018;mayo
VILLA DE VALLECAS;2.0;4.0;3.0;25.0;65.0;53.0;23.0;5.0;18.0;2.0;23.0;46.0;0.0;40.0;53.0;1.0;1.0;2018;mayo
VICÁLVARO;0.0;1.0;1.0;13.0;3.0;4.0;11.0;2.0;19.0;0.0;0.0;59.0;1.0;24.0;26.0;0.0;0.0;2018;mayo
SAN BLAS - CANILLEJAS;9.0;17.0;2.0;25.0;4.0;35.0;47.0;3.0;24.0;1.0;50.0;77.0;2.0;43.0;48.0;10.0;39.0;2018;mayo
BARAJAS;3.0;12.0;1.0;2.0;0.0;17.0;20.0;3.0;8.0;0.0;2.0;0.0;0.0;40.0;41.0;2.0;27.0;2018;mayo
SIN DISTRITO ASIGNADO;169.0;210.0;2.0;36.0;10.0;3.0;0.0;0.0;;73.0;101.0;33.0;5.0;0.0;0.0;18.0;249.0;2018;mayo
UNIDAD DE CONVIVENCIA Y PREVENCIÓN;;;;;;;;;46.0;;;;;;;;;2018;mayo
CENTRO;49.0;74.0;12.0;119.0;43.0;106.0;63.0;29.0;127.0;288.0;190.0;512.0;4.0;402.0;721.0;11.0;3.0;2018;junio
ARGANZUELA;1.0;10.0;0.0;10.0;3.0;23.0;48.0;9.0;22.0;7.0;42.0;56.0;0.0;96.0;119.0;2.0;11.0;2018;junio
RETIRO;5.0;10.0;0.0;7.0;2.0;19.0;30.0;6.0;23.0;13.0;10.0;26.0;4.0;88.0;112.0;1.0;0.0;2018;junio
SALAMANCA;7.0;41.0;1.0;15.0;1.0;46.0;82.0;15.0;20.0;0.0;5.0;38.0;0.0;173.0;246.0;2.0;11.0;2018;junio
CHAMARTÍN;14.0;13.0;0.0;6.0;4.0;36.0;72.0;28.0;15.0;6.0;3.0;31.0;0.0;148.0;253.0;0.0;0.0;2018;junio
TETUÁN;16.0;12.0;0.0;42.0;1.0;41.0;61.0;5.0;29.0;3.0;8.0;199.0;2.0;91.0;133.0;2.0;1.0;2018;junio
CHAMBERÍ;7.0;4.0;0.0;7.0;3.0;31.0;62.0;10.0;24.0;1.0;4.0;185.0;2.0;126.0;235.0;0.0;1.0;2018;junio
FUENCARRAL - EL PARDO;4.0;0.0;0.0;15.0;0.0;21.0;51.0;12.0;49.0;2.0;3.0;9.0;0.0;49.0;101.0;0.0;0.0;2018;junio
MONCLOA - ARAVACA;5.0;8.0;0.0;14.0;0.0;32.0;52.0;7.0;22.0;2.0;1.0;194.0;0.0;39.0;61.0;0.0;0.0;2018;junio
